pk,example,good
664,The grocery cart hit against the wall,1
664,Grocery frame hit wall,1
664,The grocery cart touched the wall.,0
664,The branch struck the wall,1
664,The grocery truck hit the wall,1
664,The fuel trolley hit the wall,1
664,The rear of the cart struck the wall,1
664,The grocery cart hit the wall when it was cut back.,0
664,The grocery cart struck the wall,1
664,The grocery cart fell off the wall,0
664,The cart hit the wall.,1
664,Grocery cart touched wall,0
664,The grocery cart hit the wall.,0
664,The grocery cart hit the wall,0
664,The grocery cart hit the wall.,0
664,The grocery cart reached the wall,0
664,The grocery cart hit the wall,0
664,The grocery cart hit the wall.,0
664,The grocery cart hit the wall,0
664,Grocery cart opened fire against wall,0
664,The grocery cart hit the wall,0
664,The truck struck the fence,1
664,The carriage collided with the tree.,1
664,The wagon hit the statue.,1
664,A grocery cart has hit its wall,0
664,Wholesale Grocery hits the Wall,0
664,The grocery cart crashed to the wall,1
664,One grocery cart struck the wall,0
664,The wing hit the wall,0
664,Grocery cart hit the wall,0
664,The grocery cart struck this wall,1
664,The forklift struck the wall,1
664,The truck collided against the wall.,1
664,The grocer cart fell against the walls,0
664,A shotshell hit the building,1
664,The forklift fell against the wall,0
664,The grocery cart hit the wall,0
664,The grocery cart hit the wall,0
664,The grocery cart hit the wall,0
664,The grocery cart hit the wall.,0
664,The farm truck hit the wall.,1
665,That type of rope coiled easily around the post,1
665,This wire easily coiled around the tree,1
665,"This type of cable, which is easily coiled around the pole",0
665,This type of cable is easily coiled around the station.,0
665,This cable wrapped around the pole.,1
665,This type of rope easily coils around the station.,1
665,This type of cable is easily embedded around the post.,0
665,This type of rope was readily wrapped around the station.,0
665,This type of rope was easily coiled around the pole,0
665,This type of rope is quickly rolled around the pole,0
665,This type of rope is easily rolled around the station.,0
665,This type of cord easily wrappes around the pole.,0
665,The Ti-shirt branch line is good for men.,0
665,This type of rope can easily retract around the post,0
665,This type of cable is easily coiled around the post,0
665,This rope easily turns around the post,1
665,The cable can easily be wrapd around the terminal.,0
665,The resulting cable is very easily coiled around the post.,0
665,This type of cord is easily coiled around the station,0
665,This type of rope was easily turned around the post,0
665,This type of cable is very easy to coil around the pole,0
665,This type of rope can be easily mounted around the post,0
665,This kind of cable is easy to rotate around the station.,0
665,The cable is easily mounted around the cockpit,0
665,This type of cable sprayed easily around the station.,0
665,The rope was easily turned around the station.,0
665,This type of rope was easily rolled around the post.,0
665,This type of cordage easily coiled around the donnent position,0
665,This rope type is easily coiled around the pole.,0
665,A rope of this type was easily wrapped around the station.,0
665,This rope easily connected the pole above the pole.,0
665,This type of rope is very easy to run around the cockpit.,0
665,This type of rope easily wraps around the post.,0
665,This kind of rope runs easily around the pole.,0
665,This type of cable easily coiled around the station,0
665,This type of rope can easily be cut around the pole.,0
665,This cable type is easily coiled around the pole,0
665,This rope is easily capped around the pole.,0
665,The rope in question can easily be rolled around the pole.,0
665,This type of wire simply put together around the station.,0
665,This type of rope easily caps around the pole,0
666,The rope coiled around the post,1
666,The rope is held by the Post.,0
666,The rope revolved around the potency.,0
666,String circumvented stick,1
666,The rope wrapd around the rock,1
666,The rope has appeared around the pole,0
666,String rolled around pole,1
666,The rope tore around the pole,0
666,The cable was rolled around the post.,0
666,The rope turned the pole around.,0
666,The cable rolled around the station,0
666,The rope moved by mail,0
666,The rope circled the object,1
666,The cable twisted around the car,1
666,The post-cast cord,0
666,The cord capped with pottery.,0
666,The rope is coiled around the post,0
666,"The rope of the pole, around the pole, was snapping.",0
666,The rope was rolled around the cockpit.,0
