pk,cc,sentence,syntax,fd1,fd2,fd3,verb,augmented,dep,silver_cc,gold_cc
664.0,"[{'text': 'cart', 'q_value': 'INTL', 'index': 3, 'dep': 'nsubj', 'fd_subsequent': 7, 'fd_relation': 'FRC'}, {'text': 'wall', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",The grocery cart hit against the wall,Sbj V PathP,Physical,Force,none,hit,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'grocery', 'dep': 'compound'}, {'text': 'cart', 'dep': 'ROOT'}, {'text': 'hit', 'dep': 'acl'}, {'text': 'against', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'wall', 'dep': 'nmod'}]",cart wall,cart wall
665.0,"[{'text': 'rope', 'q_value': '+MER', 'index': 4, 'dep': 'nmod', 'fd_subsequent': 9, 'fd_relation': 'PTH'}, {'text': 'post', 'q_value': 'EXIST', 'index': 9, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",That type of rope coiled easily around the post,Sbj V PathP,Autonomous,Place,none,coil,0,"[{'text': 'That', 'dep': 'det'}, {'text': 'type', 'dep': 'nsubj'}, {'text': 'of', 'dep': 'case'}, {'text': 'rope', 'dep': 'nmod'}, {'text': 'coiled', 'dep': 'ROOT'}, {'text': 'easily', 'dep': 'advmod'}, {'text': 'around', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'post', 'dep': 'nmod'}]",rope post,rope post
666.0,"[{'text': 'rope', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'post', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",The rope coiled around the post,Sbj V PathP,Autonomous,Place,none,coil,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'rope', 'dep': 'nsubj'}, {'text': 'coiled', 'dep': 'ROOT'}, {'text': 'around', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'post', 'dep': 'nmod'}]",rope post,rope post
667.0,"[{'text': 'company', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'markets', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",The company is wedging into new markets,Sbj V PathP,Autonomous,Place,none,wedge,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'company', 'dep': 'nsubj'}, {'text': 'is', 'dep': 'aux'}, {'text': 'wedging', 'dep': 'ROOT'}, {'text': 'into', 'dep': 'case'}, {'text': 'new', 'dep': 'amod'}, {'text': 'markets', 'dep': 'nmod'}]",company markets,company markets
669.0,"[{'text': 'computer', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'network', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",The computer connected well to the network,Sbj V PathP,Autonomous,Place,none,connect,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'computer', 'dep': 'nsubj'}, {'text': 'connected', 'dep': 'ROOT'}, {'text': 'well', 'dep': 'advmod'}, {'text': 'to', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'network', 'dep': 'nmod'}]",computer network,computer network
670.0,"[{'text': 'computer0', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'computer1', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",My computer0 connected to his computer1,Sbj V PathP,Autonomous,Place,none,connect,0,"[{'text': 'My', 'dep': 'nmod:poss'}, {'text': 'computer0', 'dep': 'nsubj'}, {'text': 'connected', 'dep': 'ROOT'}, {'text': 'to', 'dep': 'case'}, {'text': 'his', 'dep': 'nmod:poss'}, {'text': 'computer1', 'dep': 'nmod'}]",computer0 computer1,computer0 computer1
671.0,"[{'text': 'Water', 'q_value': '+MER', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 5, 'fd_relation': 'PTH'}, {'text': 'bowl', 'q_value': 'EXIST', 'index': 5, 'dep': 'nmod', 'fd_subsequent': 8, 'fd_relation': 'PTH-complex'}, {'text': 'cup', 'q_value': 'EXIST', 'index': 8, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",Water poured from the bowl into the cup,Sbj V PathP,Autonomous,Place,none,pour,0,"[{'text': 'Water', 'dep': 'nsubj'}, {'text': 'poured', 'dep': 'ROOT'}, {'text': 'from', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'bowl', 'dep': 'nmod'}, {'text': 'into', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'cup', 'dep': 'nmod'}]",Water bowl cup,Water bowl cup
672.0,"[{'text': 'Water', 'q_value': '+MER', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 5, 'fd_relation': 'PTH'}, {'text': 'plants', 'q_value': 'EXIST', 'index': 5, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",Water poured onto the plants,Sbj V PathP,Autonomous,Place,none,pour,0,"[{'text': 'Water', 'dep': 'nsubj'}, {'text': 'poured', 'dep': 'ROOT'}, {'text': 'onto', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'plants', 'dep': 'nmod'}]",Water plants,Water plants
673.0,"[{'text': 'books', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'shelf', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': 'None'}]",The books lean against the shelf,Sbj V PathP,Autonomous,Place,none,lean,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'books', 'dep': 'ROOT'}, {'text': 'lean', 'dep': 'amod'}, {'text': 'against', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'shelf', 'dep': 'nmod'}]",shelf,books shelf
674.0,"[{'text': 'books', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'PTH'}, {'text': 'there', 'q_value': 'EXIST', 'index': 4, 'dep': 'advmod', 'fd_relation': 'None'}]",The books lean there,Sbj V PathP,Autonomous,Place,none,lean,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'books', 'dep': 'nsubj'}, {'text': 'lean', 'dep': 'ROOT'}, {'text': 'there', 'dep': 'advmod'}]",books there,books there
675.0,"[{'text': 'sugar', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'cream', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_relation': 'None'}]",The sugar whipped into (the) cream easily,Sbj V PathP,Autonomous,Place,none,whip,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'sugar', 'dep': 'nsubj'}, {'text': 'whipped', 'dep': 'ROOT'}, {'text': 'into', 'dep': 'case'}, {'text': '-LRB-', 'dep': 'punct'}, {'text': 'the', 'dep': 'det'}, {'text': '-RRB-', 'dep': 'punct'}, {'text': 'cream', 'dep': 'nmod'}, {'text': 'easily', 'dep': 'advmod'}]",sugar cream,sugar cream
676.0,"[{'text': 'Paint', 'q_value': '+MER', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 5, 'fd_relation': 'PTH'}, {'text': 'wall', 'q_value': 'EXIST', 'index': 5, 'dep': 'nmod', 'fd_relation': 'None'}]",Paint sprayed onto the wall,Sbj V PathP,Autonomous,Place,none,spray,0,"[{'text': 'Paint', 'dep': 'nsubj'}, {'text': 'sprayed', 'dep': 'ROOT'}, {'text': 'onto', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'wall', 'dep': 'nmod'}]",Paint wall,Paint wall
